doy,non,4sq,inst,job
216,4255,39,12,63
217,4704,36,2,90
218,4745,25,5,38
219,4403,51,5,76
220,4210,60,16,35
221,4147,51,5,22
222,4699,51,11,25
223,4346,59,2,0
224,4683,42,5,48
225,4359,70,8,58
226,4686,66,13,147
227,788,18,6,85
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,1382,64,18,78
234,4619,89,31,192
235,1520,73,23,180
236,905,23,9,132
237,874,29,4,197
238,813,29,3,139
239,1333,45,12,117
240,5287,95,23,193
241,5470,133,38,131
242,6030,136,36,127
243,4321,69,14,130
244,3990,53,12,123
245,4028,48,5,92
246,4933,50,14,188
247,4566,54,18,110
248,3679,66,13,100
249,858,22,5,97
250,1005,33,9,121
251,578,15,4,151
252,149,1,3,28
253,351,9,0,82
254,143,7,2,19
255,183,0,1,27
256,541,8,2,95
257,388,7,5,106
258,571,18,1,174
259,251,9,2,37
260,261,8,4,54
261,46,1,0,7
262,294,6,5,41
263,163,1,4,11
264,623,23,10,87
265,962,27,18,144
266,1249,47,2,261
267,1234,28,16,204
268,1067,45,15,103
269,1393,46,38,86
270,1810,56,34,145
271,1584,36,12,114
272,2186,31,26,179
273,4550,109,18,113
274,6243,141,66,165
275,7627,145,54,87
276,6281,182,44,242
277,5803,150,76,238
278,4857,108,18,276
279,3383,43,9,83
280,3649,53,23,111
281,5108,60,19,216
282,4381,72,13,159
283,4861,87,35,143
284,3404,118,24,162
285,3795,65,24,220
286,2675,41,15,31
287,2978,47,2,172
288,2427,27,2,16
289,3277,52,9,151
290,3336,78,3,92
291,2148,56,4,72
292,436,14,2,110
293,1257,41,6,136
294,2930,33,8,36
295,2763,38,7,101
296,2787,56,7,72
297,2985,55,11,29
298,3677,79,20,143
299,4082,73,17,135
300,2960,33,5,118
301,3389,78,8,112
302,3567,67,6,205
303,3331,59,21,158
304,3441,69,22,94
305,3912,66,40,65
306,3485,53,31,131
307,3482,40,29,117
308,2500,50,9,52
309,3034,26,14,45
310,2994,58,7,73
311,2531,49,6,44
312,2876,57,3,58
313,534,9,0,0
314,1448,9,0,0
315,2455,29,1,0
316,2361,22,1,0
317,2689,29,4,0
318,2209,24,0,0
319,2763,40,8,0
320,2966,53,8,0
321,2280,14,0,0
322,2895,16,5,0
323,1875,16,3,0
324,274,8,0,0
325,2768,21,0,0
326,3386,51,2,0
327,2611,24,3,0
328,2849,14,1,0
329,2947,13,2,0
330,2288,19,1,0
331,2558,13,2,0
332,2003,20,11,0
333,2608,47,6,0
334,3005,23,6,0
335,2332,18,6,0
336,2382,15,3,0
337,2743,21,3,0
338,2379,26,2,0
339,2580,29,1,0
340,3062,50,11,0
341,3603,35,4,0
342,2708,22,1,0
343,3000,24,2,0
344,2854,14,6,0
345,2529,21,0,0
346,145,2,0,0
347,1089,3,3,0
348,3060,21,6,0
349,2715,19,1,0
350,2644,24,0,0
351,2479,18,2,0
352,2568,20,6,0
353,2525,29,8,0
354,2619,41,6,0
355,3483,39,1,0
356,2150,16,6,0
357,2413,16,6,0
358,2668,17,1,0
359,2474,11,4,0
360,2118,27,11,0
361,2418,34,14,0
362,2543,32,10,0
363,3061,23,2,0
364,2056,16,0,0
365,2158,25,3,0
